"Year","Country","Area","CatchCategory","CATONRaisedOrImported","SeasonType","Season","Fleet","ReportingCategory","MisreportedArea","Caton","OfficialLandings","Usage","Effort","UnitEffort"
2000,"France","27.7.d","Landings","Imported_Data","Quarter",1,"DRB","All - reported, nonreported and misreported",NA,48.88,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",2,"DRB","All - reported, nonreported and misreported",NA,13.52,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"GND","All - reported, nonreported and misreported",NA,596.7,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"GNS","All - reported, nonreported and misreported",NA,464.1,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"GTR","All - reported, nonreported and misreported",NA,239.2,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",2,"MIS","All - reported, nonreported and misreported",NA,15.6,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",1,"OTB","All - reported, nonreported and misreported",NA,239259.04,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",2,"OTB","All - reported, nonreported and misreported",NA,54999.08,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",3,"OTB","All - reported, nonreported and misreported",NA,7240.42,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"OTB","All - reported, nonreported and misreported",NA,1896.23,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",1,"OTM","All - reported, nonreported and misreported",NA,1138285.06,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",2,"OTM","All - reported, nonreported and misreported",NA,1882540.19,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",3,"OTM","All - reported, nonreported and misreported",NA,527130.88,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"OTM","All - reported, nonreported and misreported",NA,637957.81,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",2,"PTM","All - reported, nonreported and misreported",NA,1410.76,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",3,"PTM","All - reported, nonreported and misreported",NA,112.32,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"PTM","All - reported, nonreported and misreported",NA,4057.04,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",2,"TBB","All - reported, nonreported and misreported",NA,53.49,NA,NA,NA,NA
2000,"France","27.7.d","Landings","Imported_Data","Quarter",4,"TBB","All - reported, nonreported and misreported",NA,18.72,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",2,"DRB","All - reported, nonreported and misreported",NA,49.51,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",3,"DRB","All - reported, nonreported and misreported",NA,15.18,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",4,"GNS","All - reported, nonreported and misreported",NA,4.37,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",1,"MIS","All - reported, nonreported and misreported",NA,446.58,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",2,"MIS","All - reported, nonreported and misreported",NA,662.38,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",3,"MIS","All - reported, nonreported and misreported",NA,1021.07,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",4,"MIS","All - reported, nonreported and misreported",NA,287.24,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",1,"OTB","All - reported, nonreported and misreported",NA,31.72,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",2,"OTB","All - reported, nonreported and misreported",NA,994.01,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",3,"OTB","All - reported, nonreported and misreported",NA,1692.99,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",4,"OTB","All - reported, nonreported and misreported",NA,58.24,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",3,"OTM","All - reported, nonreported and misreported",NA,96614.98,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",4,"OTM","All - reported, nonreported and misreported",NA,85349.99,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",2,"PTM","All - reported, nonreported and misreported",NA,408.2,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",2,"TBB","All - reported, nonreported and misreported",NA,0.52,NA,NA,NA,NA
2000,"France","27.7.e","Landings","Imported_Data","Quarter",2,"TX","All - reported, nonreported and misreported",NA,129.08,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",1,"DRB","All - reported, nonreported and misreported",NA,5.72,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",2,"DRB","All - reported, nonreported and misreported",NA,8.32,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",4,"DRB","All - reported, nonreported and misreported",NA,105.04,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",1,"OTB","All - reported, nonreported and misreported",NA,41803.93,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",2,"OTB","All - reported, nonreported and misreported",NA,32846.7,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",3,"OTB","All - reported, nonreported and misreported",NA,8415.23,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",4,"OTB","All - reported, nonreported and misreported",NA,12414.69,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",1,"OTM","All - reported, nonreported and misreported",NA,3885003.45,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",2,"OTM","All - reported, nonreported and misreported",NA,2274375.63,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",3,"OTM","All - reported, nonreported and misreported",NA,851417.81,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",4,"OTM","All - reported, nonreported and misreported",NA,1395220.74,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",4,"PTM","All - reported, nonreported and misreported",NA,103.17,NA,NA,NA,NA
2001,"France","27.7.d","Landings","Imported_Data","Quarter",2,"TBB","All - reported, nonreported and misreported",NA,29.5,NA,NA,NA,NA
2001,"France","27.7.e","Landings","Imported_Data","Quarter",1,"DRB","All - reported, nonreported and misreported",NA,14.97,NA,NA,NA,NA
2001,"France","27.7.e","Landings","Imported_Data","Quarter",2,"DRB","All - reported, nonreported and misreported",NA,154.96,NA,NA,NA,NA
2001,"France","27.7.e","Landings","Imported_Data","Quarter",3,"DRB","All - reported, nonreported and misreported",NA,270.14,NA,NA,NA,NA
2001,"France","27.7.e","Landings","Imported_Data","Quarter",4,"DRB","All - reported, nonreported and misreported",NA,423.17,NA,NA,NA,NA
2001,"France","27.7.e","Landings","Imported_Data","Quarter",2,"FPO","All - reported, nonreported and misreported",NA,11.44,NA,NA,NA,NA
