Year,Country,Area,CatchCategory,CATONRaisedOrImported,SeasonType,Season,Fleet,ReportingCategory,MisreportedArea,Caton,OfficialLandings,Usage,Effort,UnitEffort
1987,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,1281570,1282000,,-9,NA
1987,Denmark,27.7.d,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,291320,291000,,-9,NA
1988,Denmark,27.7.d,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,3233820,3234000,,-9,NA
1989,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,868470,868000,,-9,NA
1989,Denmark,27.7.e,Landings,Imported_Data,Quarter,3,PS_SPF_0_0_0,Reported,,427750,428000,,-9,NA
1989,Denmark,27.7.d,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,945240,945000,,-9,NA
1989,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,2426280,2426000,,-9,NA
1990,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,1492510,1493000,,-9,NA
1990,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,4177680,4178000,,-9,NA
1990,Denmark,27.7.h,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,442680,443000,,-9,NA
1991,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,1639000,1639000,,-9,NA
1991,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,2822520,2823000,,-9,NA
1992,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,6244840,6245000,,-9,NA
1992,Denmark,27.7.e,Landings,Imported_Data,Quarter,2,PS_SPF_0_0_0,Reported,,588130,588000,,-9,NA
1992,Denmark,27.7.d,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,1513960,1514000,,-9,NA
1992,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,9159662,9160000,,-9,NA
1992,Denmark,27.7.f,Landings,Imported_Data,Quarter,3,PS_SPF_0_0_0,Reported,,335750,336000,,-9,NA
1993,Denmark,27.7.e,Landings,Imported_Data,Quarter,2,PS_SPF_0_0_0,Reported,,260000,260000,,-9,NA
1993,Denmark,27.7.h,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,99960,100000,,-9,NA
1993,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,10844266,10844000,,-9,NA
1993,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,175376,175000,,-9,NA
1993,Denmark,27.7.d,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,2590044,2590000,,-9,NA
1994,Denmark,27.7.e,Landings,Imported_Data,Quarter,2,PS_SPF_0_0_0,Reported,,871672,872000,,-9,NA
1994,Denmark,27.7.d,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,2039868,2040000,,-9,NA
1994,Denmark,27.7.h,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,246622,247000,,-9,NA
1994,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,15586812,15587000,,-9,NA
1994,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,2058096,2058000,,-9,NA
1995,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,8216838,8217000,,-9,NA
1995,Denmark,27.7.d,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,473196,473000,,-9,NA
1995,Germany,27.7.h,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,32840,33000,,-9,NA
1995,Denmark,27.7.h,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,238222,238000,,-9,NA
1995,Denmark,27.7.d,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,675240,675000,,-9,NA
1996,Denmark,27.7.h,Landings,Imported_Data,Quarter,2,PS_SPF_0_0_0,Reported,,644838,645000,,-9,NA
1996,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,628090,628000,,-9,NA
1996,Denmark,27.7.e,Landings,Imported_Data,Quarter,2,PS_SPF_0_0_0,Reported,,123242,123000,,-9,NA
1997,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,819603,820000,,-9,NA
1997,Germany,27.7.e,Landings,Imported_Data,Quarter,3,MIS_MIS_0_0_0_HC,Reported,,12460,12000,,-9,NA
1997,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,1124490,1124000,,-9,NA
1997,Germany,27.7.e,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,180,0,,-9,NA
1997,Netherlands,27.7.d,Landings,Imported_Data,Quarter,2,OTM_SPF_32-69_0_0_all,Reported,,1340,0,,19976,kWd
1998,Germany,27.7.e,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,83263,83000,,-9,NA
1998,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,192000,0,,-9,NA
1998,Denmark,27.7.d,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,333450,333000,,-9,NA
1998,Netherlands,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,72174,0,,1633275,kWd
1998,Germany,27.7.d,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,28125,28000,,-9,NA
1998,Denmark,27.7.h,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,12007747,12008000,,-9,NA
1998,Ireland,27.7.h,Discards,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
1998,Germany,27.7.h,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,3432,3000,,-9,NA
1998,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,990940,991000,,-9,NA
1998,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,192000,192000,,-9,NA
1998,Germany,27.7.e,Landings,Imported_Data,Quarter,3,MIS_MIS_0_0_0_HC,Reported,,1100,1000,,-9,NA
1998,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,1141310,1141000,,-9,NA
1998,Netherlands,27.7.e,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,4700,0,,1239574,kWd
1999,Germany,27.7.d,Landings,Imported_Data,Quarter,3,MIS_MIS_0_0_0_HC,Reported,,32526,33000,,-9,NA
1999,Ireland,27.7.e,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,820000,0,,-9,NA
1999,Denmark,27.7.h,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,2210555,2211000,,-9,NA
1999,Ireland,27.7.e,Discards,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
1999,Germany,27.7.d,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,29517,30000,,-9,NA
1999,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,PTM_SPF_32-69_0_0_all,Reported,,225000,0,,-9,NA
1999,Denmark,27.7.e,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,883130,883000,,-9,NA
1999,Ireland,27.7.h,Discards,Imported_Data,Quarter,4,PTM_SPF_16-31_0_0_all,Reported,,0,0,,-9,NA
1999,Ireland,27.7.h,Discards,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,0,0,,-9,NA
1999,Netherlands,27.7.d,Landings,Imported_Data,Quarter,1,OTM_SPF_32-69_0_0_all,Reported,,2379000,0,,133722,kWd
1999,Germany,27.7.h,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,12715,13000,,-9,NA
1999,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,2150000,0,,-9,NA
1999,Denmark,27.7.h,Landings,Imported_Data,Quarter,4,PS_SPF_0_0_0,Reported,,210000,210000,,-9,NA
1999,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,PTM_SPF_16-31_0_0_all,Reported,,225000,225000,,-9,NA
1999,Germany,27.7.e,Landings,Imported_Data,Quarter,4,MIS_MIS_0_0_0_HC,Reported,,29846,30000,,-9,NA
1999,Germany,27.7.e,Landings,Imported_Data,Quarter,3,MIS_MIS_0_0_0_HC,Reported,,29055,29000,,-9,NA
1999,Denmark,27.7.e,Landings,Imported_Data,Quarter,1,PS_SPF_0_0_0,Reported,,185934,186000,,-9,NA
1999,Ireland,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,2150000,2150000,,-9,NA
1999,Netherlands,27.7.d,Landings,Imported_Data,Quarter,2,OTM_SPF_32-69_0_0_all,Reported,,1658080,0,,110201,kWd
1999,Netherlands,27.7.d,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,1053300,0,,1338288,kWd
1999,Netherlands,27.7.e,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,42832,0,,527724,kWd
1999,Netherlands,27.7.h,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,Reported,,25474,0,,1328903,kWd
1999,Ireland,27.7.e,Landings,Imported_Data,Quarter,4,OTM_SPF_16-31_0_0,Reported,,820000,820000,,-9,NA
1999,Netherlands,27.7.h,Landings,Imported_Data,Quarter,3,OTM_SPF_32-69_0_0_all,Reported,,6867,0,,123766,kWd
2000,UK (England),27.7.d,Landings,Imported_Data,Quarter,4,OTB_DEF_70-99_0_0_all,"All - reported, nonreported and misreported",,2,0,,517,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,2,MIS_MIS_0_0_0_HC,"All - reported, nonreported and misreported",,34,0,,0,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,1,MIS_MIS_0_0_0,"All - reported, nonreported and misreported",,426,0,,223,kWd
2000,UK (England),27.7.f,Landings,Imported_Data,Quarter,4,GNS_DEF_all_0_0_all,"All - reported, nonreported and misreported",,6552,0,,2,fd
2000,UK (England),27.7.d,Landings,Imported_Data,Quarter,3,OTB_DEF_70-99_0_0_all,"All - reported, nonreported and misreported",,92,0,,918,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,2,GNS_DEF_all_0_0_all,"All - reported, nonreported and misreported",,3801,0,,38,fd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,2,OTB_CRU_16-31_0_0_all,"All - reported, nonreported and misreported",,7,0,,0,kWd
2000,UK (England),27.7.f,Landings,Imported_Data,Quarter,4,OTM_SPF_32-69_0_0_all,"All - reported, nonreported and misreported",,2960,0,,24165,kWd
2000,UK (England),27.7.e,Landings,Imported_Data,Quarter,4,TBB_DEF_70-99_0_0_all,"All - reported, nonreported and misreported",,36,0,,221,kWd
