"","date","totalcatch_kg","length_cm","n","samplewt_g","month","year","source","fishingseason","species","division","Source_nameAn"
"1","2017-08-31",4000,19,7,5159,8,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"2","2017-08-31",4000,20,21,5159,8,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"3","2017-08-31",4000,21,19,5159,8,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"4","2017-08-31",4000,22,8,5159,8,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"5","2017-08-31",4000,23,5,5159,8,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"6","2017-09-16",16450,18,3,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"7","2017-09-16",16450,18.5,2,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"8","2017-09-16",16450,19,14,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"9","2017-09-16",16450,19.5,12,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"10","2017-09-16",16450,20,13,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"11","2017-09-16",16450,20.5,5,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"12","2017-09-16",16450,21,9,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"13","2017-09-16",16450,21.5,1,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"14","2017-09-16",16450,22,1,4292,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"15","2017-09-15",1500,17,3,4323,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"16","2017-09-15",1500,18,19,4323,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"17","2017-09-15",1500,19,29,4323,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"18","2017-09-15",1500,20,7,4323,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"19","2017-09-15",1500,21,2,4323,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"20","2017-09-01",2400,17,1,4677,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"21","2017-09-01",2400,18,7,4677,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"22","2017-09-01",2400,19,33,4677,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"23","2017-09-01",2400,20,18,4677,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"24","2017-09-01",2400,22,1,4677,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"25","2017-09-07",7350,17,3,4705,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"26","2017-09-07",7350,18,17,4705,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"27","2017-09-07",7350,19,18,4705,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"28","2017-09-07",7350,20,15,4705,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"29","2017-09-07",7350,21,5,4705,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"30","2017-09-07",7350,22,2,4705,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"31","2017-09-06",11900,17,1,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"32","2017-09-06",11900,18,13,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"33","2017-09-06",11900,19,20,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"34","2017-09-06",11900,20,16,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"35","2017-09-06",11900,21,8,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"36","2017-09-06",11900,22,1,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"37","2017-09-06",11900,23,1,4851,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"38","2017-09-08",18000,18,8,5036,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"39","2017-09-08",18000,19,18,5036,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"40","2017-09-08",18000,20,21,5036,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"41","2017-09-08",18000,21,8,5036,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"42","2017-09-08",18000,22,5,5036,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"43","2017-09-18",15500,18.5,1,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"44","2017-09-18",15500,19,4,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"45","2017-09-18",15500,19.5,5,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"46","2017-09-18",15500,20,16,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"47","2017-09-18",15500,20.5,10,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"48","2017-09-18",15500,21,12,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"49","2017-09-18",15500,21.5,6,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"50","2017-09-18",15500,22,4,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"51","2017-09-18",15500,22.5,1,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"52","2017-09-18",15500,23,1,5101,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"53","2017-09-16",4550,16,2,3805,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"54","2017-09-16",4550,16.5,1,3805,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"55","2017-09-16",4550,17,4,3805,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
"56","2017-09-16",4550,17.5,1,3805,9,2017,"processor","2017-2018","PIL",27.7,"Processor 3"
