"","lengthvessel_m","gear_type","date","totalcatch_kg","length_cm","lat","lon","icesrect","month","year","fishingseason","source","species","weight_g","samplewt_g","n","Source_nameAn"
"1",14.99,"ringnet","2021-12-02",6000,13,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"2",14.99,"ringnet","2021-12-02",6000,13.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 7"
"3",14.99,"ringnet","2021-12-02",6000,14,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"4",14.99,"ringnet","2021-12-02",6000,14.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 7"
"5",14.99,"ringnet","2021-12-02",6000,15,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"6",14.99,"ringnet","2021-12-02",6000,15.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,0,"Fisher 7"
"7",14.99,"ringnet","2021-12-02",6000,16,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"8",14.99,"ringnet","2021-12-02",6000,16.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,2,"Fisher 7"
"9",14.99,"ringnet","2021-12-02",6000,17,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 7"
"10",14.99,"ringnet","2021-12-02",6000,17.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,1,"Fisher 7"
"11",14.99,"ringnet","2021-12-02",6000,18,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,3,"Fisher 7"
"12",14.99,"ringnet","2021-12-02",6000,18.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,4,"Fisher 7"
"13",14.99,"ringnet","2021-12-02",6000,19,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,7,"Fisher 7"
"14",14.99,"ringnet","2021-12-02",6000,19.5,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 7"
"15",14.99,"ringnet","2021-12-02",6000,20,50.0347222222222,-5.65,"rect 29E4",12,2021,"2021-2022","fishers","PIL",NA,NA,9,"Fisher 7"
